index,dish_name,dish_description,difficulty,rating,reviews_for_rating,image_count,author,author_type,author_group,prep_time,bake_time,rest_time,total_steps,ingredient,ingredient_quantity,ingredient_unit,calories,protein,protein_u,fat,fat_u,carb,carb_u,servings,utensils
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,chicken breasts,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,nando’s periperi sauce,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,smoked paprika powder,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,garlic,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,ginger juice,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,mixed dried herbs,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,lime juice,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,couscous,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,feta cheese,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,jarred pitted black olive,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,cherry maes,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,cucumber slices,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,fullfat plain yogurt,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,milk,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,mixed herbs,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,pepper,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,olive oil,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,butter,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
0,Tender chicken skewers with couscous and feta dip,Perfect for a sunny Saturday lunch on the porch.,Easy,0.0,,1,Palate & Plate,Community Member,,35,0,30,8.0,sichuan salt,"['3', '0.3333333333333333', '1.5', '2', '1', '1', '2', '1', '1', '0.25', '10', '0.25', '3', '0.3333333333333333', '2', '1', '2', '1', '1.5']","['cup', 'tsp', 'cloves', 'tbsp', 'tsp', 'tbsp', 'cup', 'cup', 'cup', 'cup', 'tbsp', 'cup', 'tsp', 'pinch', 'tbsp', 'tsp', 'tsp', '', '']",,,,,,,,2,"['wooden skewer', 'aluminum foil']"
1,Chicken thighs in mustard cream sauce with vegetables,"Cooking this dish just for you or for your whole family, it will definitely put a smile on everyone’s face. It is easy to make and can be prepared ahead when you plan to have a full house. You don’t like any of the green ingredients? No problem, just change it with the one you like and make it your own version of my chicken thighs in cream mustard sauce.",Easy,4.0,1.0,0,mrslovegoodfood,Community Member,,10,45,0,9.0,smoked bacon lardons,"['1.0', '5.0', '2.0', '400.0', '1.0', '3.0', '1.0', '1.0', '1.0', '0.0', '0.0', '0.0']","['package', 'ml', 'tbsp', 'tsp', 'tsp', 'tbsp', '', '', '', '', '', '']",,,,,,,,2,
